"","trait_nm","trait_value","species_nm","quantile"
"2","BloomBreadth",7,"Juniperus excelsa","quant99"
"3","BloomBreadth",7,"Juniperus foetidissima","quant99"
"4","BloomBreadth",6,"Tamarix arborea","quant99"
"5","HeightMax",43.75,"Abies alba","quant99"
"6","HeightMax",50,"Cedrus libani","quant99"
"7","HeightMax",40,"Fagus orientalis","quant99"
"8","HeightMax",0.95,"Cotinus coggygria","quant1"
"9","HeightMax",2,"Juniperus navicularis","quant1"
"10","HeightMax",1,"Rhamnus persicifolia","quant1"
"11","LA",23630.146239,"Arbutus andrachne","quant99"
"12","LA",28171.655,"Chamaerops humilis","quant99"
"13","LA",4.765064,"Erica arborea","quant1"
"14","LA",1,"Tamarix canariensis","quant1"
"15","SLA",31.398,"Staphylea pinnata","quant99"
"16","SLA",36.805472,"Ulmus laevis","quant99"
"17","SLA",0.803021,"Juniperus thurifera","quant1"
"18","SLA",3.016667,"Pinus heldreichii","quant1"
"19","SeedMass",10886.247745,"Aesculus hippocastanum","quant99"
"20","SeedMass",9033.755198,"Juglans regia","quant99"
"21","SeedMass",0.01867,"Erica arborea","quant1"
"22","SeedMass",0.02,"Salix triandra","quant1"
"23","StemSpecDens",0.897016,"Pistacia lentiscus","quant99"
"24","StemSpecDens",1.018308,"Prunus webbii","quant99"
"25","StemSpecDens",0.230896,"Juniperus oxycedrus","quant1"
"26","StemSpecDens",0.343756,"Sambucus nigra","quant1"
